Date,USD
21-Dec-18,70.13999944
24-Dec-18,70.10499906
26-Dec-18,70.06999923
27-Dec-18,70.36099907
28-Dec-18,69.93299929
31-Dec-18,69.56999897
01-Jan-19,69.45300067
02-Jan-19,70.0000014
03-Jan-19,70.10999768
04-Jan-19,69.55000106
07-Jan-19,69.80299918
08-Jan-19,70.13999944
09-Jan-19,70.55999801
10-Jan-19,70.42000108
11-Jan-19,70.39900112
14-Jan-19,70.76000062
15-Jan-19,71.09999802
16-Jan-19,70.97999812
17-Jan-19,71.05000179
18-Jan-19,71.2100025
21-Jan-19,71.18800175
22-Jan-19,71.26000081
23-Jan-19,71.18999849
24-Jan-19,71.00000021
25-Jan-19,70.90000179
28-Jan-19,71.06999791
29-Jan-19,71.39000043
30-Jan-19,71.23500049
31-Jan-19,70.96000226
01-Feb-19,71.43500058
04-Feb-19,71.71000246
05-Feb-19,71.53000097
06-Feb-19,71.550002
07-Feb-19,71.30000225
08-Feb-19,71.17500032
11-Feb-19,71.14000217
12-Feb-19,70.5349988
13-Feb-19,70.87500222
14-Feb-19,71.01999845
15-Feb-19,71.32999847
18-Feb-19,71.3869987
19-Feb-19,71.30000225
20-Feb-19,71.00999792
21-Feb-19,71.16500168
22-Feb-19,71.035002
25-Feb-19,70.83400094
26-Feb-19,70.96000226
27-Feb-19,71.19999909
28-Feb-19,70.84000233
01-Mar-19,71.00000021
04-Mar-19,70.91000152
05-Mar-19,70.49000209
06-Mar-19,70.08000193
07-Mar-19,70.11599991
08-Mar-19,70.01199866
11-Mar-19,69.85000131
12-Mar-19,69.62500044
13-Mar-19,69.52899943
14-Mar-19,69.36500225
15-Mar-19,68.96300128
18-Mar-19,68.62499999
19-Mar-19,69.01499862
20-Mar-19,68.78999837
21-Mar-19,68.81000189
22-Mar-19,69.16999807
25-Mar-19,68.88999955
26-Mar-19,68.9959992
27-Mar-19,69.10000014
28-Mar-19,69.18999823
29-Mar-19,69.18500069
01-Apr-19,69.20499995
02-Apr-19,68.92000152
03-Apr-19,68.44999906
04-Apr-19,68.97999828
05-Apr-19,69.16999807
08-Apr-19,69.55499825
09-Apr-19,69.28000067
10-Apr-19,69.1499999
11-Apr-19,69.0200002
12-Apr-19,69.18999823
15-Apr-19,69.39500051
16-Apr-19,69.53000014
17-Apr-19,69.43100183
18-Apr-19,69.39500051
22-Apr-19,69.70000144
23-Apr-19,69.76999901
24-Apr-19,69.96000107
25-Apr-19,70.17000227
26-Apr-19,69.85000131
30-Apr-19,69.64700114
01-May-19,69.54499975
02-May-19,69.40999973
03-May-19,69.09500127
06-May-19,69.37999814
07-May-19,69.64499786
08-May-19,69.71999821
09-May-19,70.20000121
10-May-19,70.01499861
13-May-19,70.57000167
14-May-19,70.3320001
15-May-19,70.24900039
16-May-19,70.12999928
17-May-19,70.28000044
20-May-19,69.60900206
21-May-19,69.64499786
22-May-19,69.649999
23-May-19,69.66500191
24-May-19,69.37999814
27-May-19,69.50400069
28-May-19,69.61000023
29-May-19,69.84500067
30-May-19,69.82500039
31-May-19,69.57999981
03-Jun-19,69.17099804
04-Jun-19,69.29099857
05-Jun-19,69.38499981
06-Jun-19,69.16499864
07-Jun-19,69.35500058
10-Jun-19,69.53499929
11-Jun-19,69.38499981
12-Jun-19,69.37500199
13-Jun-19,69.53000014
14-Jun-19,69.83300206
17-Jun-19,69.85000131
18-Jun-19,69.61000023
19-Jun-19,69.649999
20-Jun-19,69.51999917
21-Jun-19,69.6150012
24-Jun-19,69.27299858
